__run_id,__done,adaptation_strategy,highest_received_signal,transmission_power,packet_loss,total_energy_consumption
run_0_repetition_0,DONE,provoost,-52.68641907779952,13.03921568627451,22.01%,529.94mJ
run_0_repetition_1,DONE,provoost,-50.541504349561166,14.96078431372549,22.63%,810.52mJ
run_0_repetition_2,DONE,provoost,-50.73606895734595,14.96078431372549,21.22%,787.64mJ
run_0_repetition_3,DONE,provoost,-50.132866048434714,14.96078431372549,20.33%,764.15mJ
run_0_repetition_4,DONE,provoost,-51.707484441558336,13.03921568627451,21.78%,531.05mJ
run_0_repetition_5,DONE,provoost,-51.157707873757985,14,20.45%,618.65mJ
run_0_repetition_6,DONE,provoost,-52.395064503203464,14,19.42%,565.88mJ
run_0_repetition_7,DONE,provoost,-50.82797335357279,14,19.99%,611.93mJ
run_0_repetition_8,DONE,provoost,-50.253421541656195,14.96078431372549,24.70%,915.44mJ
run_0_repetition_9,DONE,provoost,-50.753610911413425,14.96078431372549,23.79%,907.23mJ
run_0_repetition_10,DONE,provoost,-49.84910461328397,14.96078431372549,23.89%,872.42mJ
run_0_repetition_11,DONE,provoost,-52.2004859023827,14,21.86%,664.05mJ
run_0_repetition_12,DONE,provoost,-51.71148493366764,14,23.56%,692.66mJ
run_0_repetition_13,DONE,provoost,-50.23331745846192,14.96078431372549,23.61%,867.92mJ
run_0_repetition_14,DONE,provoost,-51.39317118228485,14,20.67%,620.10mJ
run_0_repetition_15,DONE,provoost,-52.124124373321656,13.03921568627451,22.31%,544.91mJ
run_0_repetition_16,DONE,provoost,-51.01766089015859,14,18.99%,566.48mJ
run_0_repetition_17,DONE,provoost,-50.36928630850635,14.96078431372549,22.17%,814.62mJ
run_0_repetition_18,DONE,provoost,-49.918432067273805,14.96078431372549,17.09%,629.42mJ
run_0_repetition_19,DONE,provoost,-53.09868553514268,13.03921568627451,18.98%,475.82mJ
run_0_repetition_20,DONE,provoost,-49.82527926092769,14.96078431372549,17.34%,621.26mJ
run_0_repetition_21,DONE,provoost,-49.93278903284981,14.96078431372549,21.56%,802.78mJ
run_0_repetition_22,DONE,provoost,-51.564968777343026,14,21.85%,651.89mJ
run_0_repetition_23,DONE,provoost,-50.70139590362149,14.96078431372549,21.04%,792.23mJ
run_0_repetition_24,DONE,provoost,-50.65374410722886,14.96078431372549,21.36%,783.31mJ
run_0_repetition_25,DONE,provoost,-51.298212368967505,14,24.16%,704.64mJ
run_0_repetition_26,DONE,provoost,-51.3192232015024,14,23.04%,688.54mJ
run_0_repetition_27,DONE,provoost,-52.683910449771766,14,23.73%,714.43mJ
run_0_repetition_28,DONE,provoost,-50.26104648845673,14.96078431372549,24.31%,918.22mJ
