__run_id,__done,adaptation_strategy,highest_received_signal,transmission_power,packet_loss,total_energy_consumption
run_0_repetition_0,DONE,provoost,-50.30633347587313,14.96078431372549,16.06%,9877.39mJ
run_0_repetition_1,DONE,provoost,-50.785927613954165,14.96078431372549,16.59%,8091.79mJ
run_0_repetition_2,DONE,provoost,-50.09270349847745,14.96078431372549,16.97%,8614.29mJ
run_0_repetition_3,DONE,provoost,-50.80668911596124,14.96078431372549,16.86%,8580.83mJ
run_0_repetition_4,DONE,provoost,-50.794923069605865,14.96078431372549,16.09%,10063.53mJ
run_0_repetition_5,DONE,provoost,-51.13164262044873,14.96078431372549,15.88%,10143.14mJ
run_0_repetition_6,DONE,provoost,-50.60383574706121,14.96078431372549,16.03%,9994.23mJ
run_0_repetition_7,DONE,provoost,-50.69073769104266,14.96078431372549,16.30%,9832.27mJ
run_0_repetition_8,DONE,provoost,-50.536096972952826,14.96078431372549,16.14%,10008.46mJ
run_0_repetition_9,DONE,provoost,-50.862773556324356,14.96078431372549,16.12%,9944.56mJ
run_0_repetition_10,DONE,provoost,-50.4222715777191,14.96078431372549,16.50%,9113.25mJ
run_0_repetition_11,DONE,provoost,-50.44644794967145,14.96078431372549,16.64%,8250.76mJ
run_0_repetition_12,DONE,provoost,-49.939937841076386,14.96078431372549,16.94%,9280.86mJ
run_0_repetition_13,DONE,provoost,-50.29424779942207,14.96078431372549,16.58%,9675.82mJ
run_0_repetition_14,DONE,provoost,-50.93086063422741,14.96078431372549,16.63%,9041.93mJ
run_0_repetition_15,DONE,provoost,-49.84826842660325,14.96078431372549,16.79%,9276.45mJ
run_0_repetition_16,DONE,provoost,-50.66069009469318,14.96078431372549,16.45%,9223.42mJ
run_0_repetition_17,DONE,provoost,-50.907867370100966,14.96078431372549,16.72%,9408.38mJ
run_0_repetition_18,DONE,provoost,-50.60257162811934,14.96078431372549,16.09%,9982.51mJ
run_0_repetition_19,DONE,provoost,-50.861404994881646,14.96078431372549,16.07%,10106.29mJ
run_0_repetition_20,DONE,provoost,-49.96672809017081,14.96078431372549,16.28%,10028.08mJ
run_0_repetition_21,DONE,provoost,-50.70520373223203,14.96078431372549,16.02%,10134.08mJ
run_0_repetition_22,DONE,provoost,-50.30649295816756,14.96078431372549,16.55%,9715.70mJ
run_0_repetition_23,DONE,provoost,-50.9664000969151,14.96078431372549,16.79%,8593.24mJ
run_0_repetition_24,DONE,provoost,-51.096281990125014,14.96078431372549,16.55%,9672.53mJ
run_0_repetition_25,DONE,provoost,-50.48101344757179,14.96078431372549,16.34%,9906.89mJ
run_0_repetition_26,DONE,provoost,-50.078623389765305,14.96078431372549,16.65%,9458.03mJ
run_0_repetition_27,DONE,provoost,-50.243516964946146,14.96078431372549,16.51%,9658.70mJ
run_0_repetition_28,DONE,provoost,-50.282794834113794,14.96078431372549,16.85%,8735.90mJ
run_0_repetition_29,DONE,provoost,-49.92335145253523,14.96078431372549,16.68%,9352.23mJ
